filename,width,height,area,aspect_ratio,mean_intensity,std_intensity,severity
img-1.jpg,312,138,43056,2.261,145.91,29.87,Medium
img-10.jpg,159,141,22419,1.128,168.88,30.42,Medium
img-100.jpg,199,116,23084,1.716,148.31,41.08,Low
img-101.jpg,166,129,21414,1.287,133.32,30.01,Medium
img-101.jpg,157,94,14758,1.67,128.96,20.08,Low
img-102.jpg,262,304,79648,0.862,144.62,35.19,Low
img-103.jpg,215,115,24725,1.87,153.22,34.19,Medium
img-104.jpg,245,171,41895,1.433,144.59,34.69,High
img-104.jpg,65,59,3835,1.102,135.67,27.34,Low
img-105.jpg,151,113,17063,1.336,166.34,23.12,Low
img-105.jpg,43,37,1591,1.162,156.14,25.65,Low
img-106.jpg,367,307,112669,1.195,131.17,30.15,Medium
img-106.jpg,113,164,18532,0.689,123.7,28.88,Low
img-107.jpg,226,173,39098,1.306,170.1,39.4,Medium
img-108.jpg,172,128,22016,1.344,136.74,36.19,High
img-108.jpg,73,67,4891,1.09,121.3,37.46,Low
img-108.jpg,59,32,1888,1.844,153.93,20.65,Low
img-108.jpg,118,122,14396,0.967,148.97,27.0,Low
img-108.jpg,48,63,3024,0.762,137.73,23.08,Low
img-109.jpg,114,93,10602,1.226,129.31,25.59,Medium
img-109.jpg,172,166,28552,1.036,122.07,27.76,Medium
img-109.jpg,168,94,15792,1.787,121.46,23.93,Low
img-11.jpg,243,244,59292,0.996,135.74,31.15,Medium
img-110.jpg,414,121,50094,3.421,116.79,17.19,Medium
img-110.jpg,98,27,2646,3.63,114.02,12.77,Low
img-111.jpg,88,54,4752,1.63,139.39,25.69,Low
img-111.jpg,165,152,25080,1.086,141.43,25.09,Low
img-111.jpg,81,107,8667,0.757,134.52,22.96,Low
img-112.jpg,337,130,43810,2.592,156.35,21.98,Medium
img-113.jpg,505,317,160085,1.593,150.73,34.51,High
img-114.jpg,132,113,14916,1.168,130.42,26.54,Low
img-115.jpg,224,119,26656,1.882,109.25,32.96,Medium
img-116.jpg,235,146,34310,1.61,145.64,16.46,Medium
img-116.jpg,91,95,8645,0.958,145.78,17.41,Low
img-117.jpg,124,247,30628,0.502,178.5,31.07,Low
img-117.jpg,108,38,4104,2.842,179.96,16.89,Low
img-118.jpg,349,444,154956,0.786,156.36,26.57,High
img-119.jpg,207,177,36639,1.169,164.97,27.43,Medium
img-119.jpg,158,123,19434,1.285,141.73,31.14,Low
img-12.jpg,257,266,68362,0.966,110.49,42.81,Medium
img-120.jpg,250,94,23500,2.66,145.89,27.64,Medium
img-121.jpg,172,122,20984,1.41,143.14,33.42,Medium
img-121.jpg,228,179,40812,1.274,140.14,33.09,Medium
img-121.jpg,57,60,3420,0.95,138.44,35.0,Low
img-122.jpg,216,142,30672,1.521,153.39,31.32,Medium
img-123.jpg,182,169,30758,1.077,114.35,47.4,Medium
img-124.jpg,100,48,4800,2.083,172.6,34.18,Low
img-124.jpg,291,256,74496,1.137,156.07,34.17,High
